id	26	29	31	33	35	43	ano	mu	ln	mu20	mu40	mu60	mu80
114	83,73576761	99,20833501	109,8643683	135,6386469	157,1039952	144,2508956	2004	121,6336681	4,801013807	1,609437912	2,397895273	2,772588722	3,091042453
115	87,41918389	103,0008788	110,0953662	138,181688	158,9444644	138,9672122	2004	122,7681323	4,810297473	1,791759469	2,564949357	2,944438979	3,258096538
116	85,76062434	99,97146255	114,5740679	134,3490122	157,9696495	137,5264049	2004	121,6918702	4,801492196	1,609437912	2,397895273	2,833213344	3,135494216
117	87,79194874	100,7709755	118,7395773	136,2176774	160,2494784	136,1178601	2004	123,3145862	4,814738702	1,945910149	2,63905733	3,044522438	3,33220451
118	82,14957026	99,19525002	112,3317547	134,521903	158,6140934	131,6112318	2004	119,7373005	4,785300181	1,386294361	2,079441542	2,564949357	2,833213344
119	81,08570712	96,82255899	114,2439841	135,7564287	157,7237656	136,209523	2004	120,3069946	4,790046764	1,386294361	2,197224577	2,63905733	2,890371758
120	78,24478027	97,66743966	107,8736413	137,0532695	170,1923806	133,5550734	2004	120,7644308	4,793841795	1,609437912	2,302585093	2,708050201	2,995732274
121	87,5007685	111,7483859	135,8291869	165,8931016	189,6170971	154,6678471	2005	140,8760645	4,947880529	2,397895273	3,091042453	3,496507561	3,784189634
122	77,46767407	98,70601096	112,3059794	138,7537407	157,14637	135,9011838	2005	120,0468265	4,787881887	1,386294361	2,079441542	2,564949357	2,833213344
123	77,3746712	98,39105985	118,2702273	137,748564	160,2335886	135,8908238	2005	121,3181558	4,798416482	1,609437912	2,302585093	2,772588722	3,044522438
124	83,28738904	96,43498444	117,9509469	137,3712386	155,2331778	135,5139979	2005	120,9652891	4,795503638	1,609437912	2,302585093	2,708050201	2,995732274
125	81,18654536	95,27953438	117,8286972	134,5504344	153,6050322	141,8167386	2005	120,7111637	4,793400615	1,386294361	2,197224577	2,63905733	2,944438979
126	84,39215578	97,5673302	118,0661781	134,5970392	159,1950796	138,567544	2005	122,0642211	4,804547309	1,609437912	2,397895273	2,833213344	3,135494216
127	86,87771481	99,12513737	119,5659491	134,9297742	161,9924173	139,6861637	2005	123,6961927	4,817828501	1,945910149	2,63905733	3,091042453	3,36729583
128	86,27621195	103,192625	119,8704711	138,6651198	160,859286	141,2008092	2005	125,0107538	4,828399764	2,079441542	2,772588722	3,17805383	3,465735903
129	89,9627934	100,5283846	119,4156101	139,9402727	158,6079556	138,1452011	2005	124,4333696	4,823770389	1,945910149	2,708050201	3,135494216	3,433987204
130	87,09505898	102,5186269	115,68282	142,0451371	151,6493215	140,3828107	2005	123,2289625	4,814044109	1,791759469	2,564949357	2,995732274	3,295836866
131	82,34888924	105,1813338	115,1176727	140,1585101	155,3016929	135,4274626	2005	122,2559269	4,806116609	1,791759469	2,48490665	2,890371758	3,17805383
132	88,89345798	109,3035077	119,1748259	151,9970838	180,4026454	143,9116027	2005	132,2805206	4,884924824	2,197224577	2,890371758	3,295836866	3,583518938
133							2006						
134							2006						
135							2006						
136							2006						
137							2006						
138							2006						
139							2006						
140							2006						
141							2006						
142							2006						
143							2006						
144							2006						
145	127,8745712	129,8442457	160,8323473	178,2783526	204,9360282	176,6574028	2007	163,0704913	5,094182569	2,63905733	3,33220451	3,761200116	4,043051268
146	90,26158566	111,2176721	126,0162861	146,3856109	170,9828343	142,5573524	2007	131,2368903	4,877004013	2,079441542	2,833213344	3,258096538	3,555348061
147	88,7566258	105,3108135	122,5450879	153,200964	172,8053681	143,4054871	2007	131,0040577	4,875228298	2,079441542	2,833213344	3,258096538	3,555348061
148	91,23436589	106,6805964	123,2989788	152,4540399	166,1965003	146,3970215	2007	131,0435838	4,875529969	2,079441542	2,833213344	3,258096538	3,555348061
149	92,06667864	107,7819469	127,2707908	152,680278	170,1822261	145,3474996	2007	132,5549034	4,886996925	2,197224577	2,890371758	3,295836866	3,610917913
150	92,42717372	110,3697171	128,21272	154,8944144	167,7895083	147,1335182	2007	133,4711753	4,893885539	2,197224577	2,944438979	3,33220451	3,63758616
151	92,67305744	112,9918331	128,1988703	155,2298758	165,0320607	152,315662	2007	134,4068932	4,900871716	2,197224577	2,944438979	3,36729583	3,663561646
152	93,47981619	114,1079438	132,4108317	147,8430896	164,8622177	153,3103413	2007	134,3357067	4,900341941	2,197224577	2,944438979	3,36729583	3,63758616
153	92,45489864	114,7962169	130,048529	149,9329275	163,4468492	155,5382325	2007	134,369609	4,900594279	2,197224577	2,944438979	3,36729583	3,663561646
154	93,42352578	109,4220072	133,2738706	148,3269758	164,6458311	154,8776995	2007	133,994985	4,897802374	2,197224577	2,944438979	3,33220451	3,63758616
155	93,14228477	119,7146872	137,3545613	151,3322556	169,431433	153,9632812	2007	137,4897505	4,923549373	2,302585093	3,044522438	3,433987204	3,737669618
156	97,21303689	121,8021371	137,093634	154,6065079	185,5411306	157,5415297	2007	142,2996627	4,957935135	2,397895273	3,135494216	3,555348061	3,828641396
157	128,0865029	160,2308208	175,6763306	182,2814819	217,6415154	190,600613	2008	175,7528774	5,169078903	2,772588722	3,465735903	3,871201011	4,158883083
158	91,43512542	120,6600017	132,1106474	151,1191993	177,4385756	158,8508075	2008	138,6023928	4,931609351	2,302585093	3,044522438	3,465735903	3,737669618
159	91,31461472	116,6745808	138,4203992	151,6157956	178,0727444	159,9956128	2008	139,3489579	4,936981276	2,302585093	3,044522438	3,465735903	3,761200116
160	97,0732863	115,4665607	135,3994488	165,9725726	176,7966148	156,3006405	2008	141,1681873	4,949951997	2,397895273	3,091042453	3,496507561	3,784189634
161	93,41019277	118,462694	136,2873919	161,1633834	175,7446207	152,1520194	2008	139,536717	4,938327771	2,302585093	3,044522438	3,465735903	3,761200116
162	88,81733999	117,3086097	132,5319806	160,8794117	172,0427438	151,5939143	2008	137,1956667	4,921408131	2,302585093	2,995732274	3,433987204	3,713572067
163	92,60359965	119,1491022	136,0676667	164,478086	168,1709452	151,6872636	2008	138,6927772	4,932261251	2,302585093	3,044522438	3,465735903	3,761200116
164	95,77988651	113,292218	138,6943914	168,2104137	174,6203963	154,2861941	2008	140,8139167	4,947439279	2,397895273	3,091042453	3,496507561	3,784189634
165	97,78203466	120,8480387	141,2090456	166,198154	172,5741377	157,526787	2008	142,6896996	4,96067234	2,397895273	3,135494216	3,555348061	3,850147602
166	99,47513939	121,0962182	138,6370071	162,9056819	172,1859722	157,545625	2008	141,974274	4,955645872	2,397895273	3,135494216	3,526360525	3,828641396
167	97,86952277	124,9708541	137,3011527	163,371282	169,5744444	155,6002549	2008	141,4479185	4,951931582	2,397895273	3,091042453	3,496507561	3,80666249
168	102,4376192	134,2708935	145,7005432	168,5293784	181,7729354	165,3924305	2008	149,6839667	5,008526183	2,564949357	3,258096538	3,663561646	3,951243719
169	145,8166232	154,0148509	181,2545399	198,6538098	224,9278463	198,2997113	2009	183,8278969	5,213999977	2,890371758	3,610917913	4,007333185	4,304065093
170	96,12385938	126,8453505	140,7279091	159,3706958	178,5884483	160,5659013	2009	143,7036941	4,9677535	2,397895273	3,135494216	3,555348061	3,850147602
171	92,922509	129,4213133	136,2434061	162,6143764	182,3265424	164,7099369	2009	144,7063474	4,974706498	2,48490665	3,17805383	3,583518938	3,871201011
172	95,48118966	122,1277539	135,3980899	162,6188257	183,7782653	167,1223274	2009	144,4210753	4,972733167	2,48490665	3,17805383	3,583518938	3,871201011
173	94,20136407	123,8914873	142,1772095	159,9616114	180,8841485	164,8716183	2009	144,3312398	4,972110935	2,48490665	3,17805383	3,583518938	3,871201011
174	89,90993453	119,0603861	147,0037879	160,8689836	181,4463795	167,310221	2009	144,2666154	4,971663084	2,397895273	3,135494216	3,555348061	3,850147602
175	95,37960926	125,2670741	143,2712646	169,4797682	174,7377173	168,351011	2009	146,0810741	4,984161769	2,48490665	3,17805383	3,610917913	3,891820298
176	96,52166711	128,4671859	143,5237127	171,9541784	176,1848541	167,7162569	2009	147,3946425	4,993113632	2,48490665	3,218875825	3,610917913	3,912023005
177	100,7518803	130,9421478	142,8534838	171,5242942	179,2107433	168,2063653	2009	148,9148191	5,003374459	2,48490665	3,218875825	3,63758616	3,931825633
178	94,39002581	135,8028114	142,047134	169,1319577	185,7530239	166,3995912	2009	148,9207573	5,003414335	2,48490665	3,218875825	3,63758616	3,931825633
179	93,97834873	127,079619	144,4405041	166,0905854	190,1254102	172,1486853	2009	148,9771921	5,003793221	2,48490665	3,218875825	3,63758616	3,931825633
180	92,38043293	129,8875063	138,5892544	179,843669	206,8621499	176,7949457	2009	154,0596597	5,037339928	2,564949357	3,295836866	3,688879454	3,988984047
181	139,9406312	151,7898575	189,2922473	213,0563496	230,1098763	218,6913843	2010	190,4800577	5,249547505	2,944438979	3,63758616	4,060443011	4,343805422
182	96,42126694	132,1423854	139,6508256	179,7037626	189,9110995	176,3738455	2010	152,3671976	5,026293381	2,564949357	3,258096538	3,663561646	3,951243719
183	102,2480251	129,0514071	139,970191	186,6173789	186,627017	175,3562518	2010	153,3117118	5,032473181	2,564949357	3,258096538	3,688879454	3,970291914
184	101,918313	130,8674074	138,4812986	185,810614	183,6692043	175,8898404	2010	152,7727796	5,028951717	2,564949357	3,258096538	3,663561646	3,970291914
185	104,0943934	134,8500853	136,4729025	181,2077536	178,952406	179,506281	2010	152,5139703	5,0272562	2,564949357	3,258096538	3,663561646	3,970291914
186	104,4278356	132,9902497	141,3060373	178,1735578	177,4069062	182,5693552	2010	152,8123236	5,029210526	2,564949357	3,258096538	3,688879454	3,970291914
187	106,0364277	139,2800579	154,4694341	181,0524414	182,9500488	176,770028	2010	156,7597396	5,054714312	2,564949357	3,295836866	3,688879454	3,988984047
188	113,791913	144,2624903	159,1181867	186,798625	184,9969615	176,4508989	2010	160,9031793	5,080802813	2,63905733	3,33220451	3,737669618	4,025351691
189	118,9105511	144,3967544	158,3207266	192,3560789	187,7612752	180,5544166	2010	163,7166338	5,098137091	2,63905733	3,36729583	3,761200116	4,060443011
190	124,5300908	142,4644729	156,7327925	195,5065814	187,6364225	178,4905199	2010	164,2268133	5,10124848	2,63905733	3,36729583	3,761200116	4,060443011
191	123,9697185	140,1773919	152,1953511	191,4403478	189,7707782	179,6224657	2010	162,8626755	5,092907364	2,63905733	3,33220451	3,737669618	4,043051268
192	120,9988547	138,9897367	155,2344719	201,5791522	199,0663972	184,1092101	2010	166,6629705	5,115973632	2,63905733	3,36729583	3,784189634	4,077537444
193	155,635613	154,1603576	196,7587426	231,8806867	244,2577526	223,3189291	2011	201,0020136	5,303314926	2,944438979	3,663561646	4,077537444	4,356708827
194	112,2175135	135,1877386	150,6794715	197,2502646	189,1546778	184,6901618	2011	161,5299713	5,084690706	2,63905733	3,33220451	3,737669618	4,025351691
195	113,5891885	133,5093506	153,6685407	196,8179631	190,4253722	180,5959093	2011	161,4343874	5,08409879	2,63905733	3,33220451	3,737669618	4,025351691
196	103,0791493	134,0158851	151,6737027	186,2764233	186,7812471	179,2422961	2011	156,8447839	5,055256679	2,564949357	3,295836866	3,713572067	3,988984047
197	103,4296494	138,7748494	152,6515773	190,5147267	188,385732	174,2583006	2011	158,0024726	5,062610682	2,564949357	3,295836866	3,713572067	4,007333185
198	107,4108965	141,0778464	156,7409107	185,7162388	191,6484018	178,7855804	2011	160,2299791	5,076610153	2,564949357	3,295836866	3,713572067	4,007333185
199	114,1018858	156,0378521	158,312597	194,1982422	195,4705835	182,7764979	2011	166,8162764	5,116893066	2,63905733	3,36729583	3,784189634	4,077537444
200	115,4592391	148,1095895	159,2096205	201,3236098	195,4706113	181,3727664	2011	166,8242394	5,1169408	2,63905733	3,36729583	3,784189634	4,077537444
201	111,5473493	151,4026427	154,0829281	191,880587	191,832311	177,9241204	2011	163,1116564	5,094434975	2,63905733	3,33220451	3,761200116	4,043051268
202	116,1163791	154,7412149	158,9978311	191,8681597	187,4208372	176,9326931	2011	164,3461859	5,101975092	2,63905733	3,36729583	3,784189634	4,060443011
203	123,5672511	160,9529779	159,4054309	190,1670244	189,4915609	178,8028275	2011	167,0645121	5,118380038	2,708050201	3,401197382	3,80666249	4,094344562
204	118,0880304	165,3451587	165,7351024	205,1534017	216,117838	184,7390786	2011	175,8631016	5,169705861	2,772588722	3,465735903	3,871201011	4,17438727
205	158,177763	220,8536065	217,3062929	237,5948557	240,8751351	240,4969226	2012	219,2174293	5,390064065	2,944438979	3,663561646	4,077537444	4,369447852
206	117,3327932	169,3564512	166,5805178	197,6506069	196,7318841	180,9230812	2012	171,4292224	5,144170484	2,708050201	3,401197382	3,828641396	4,110873864
